time,Pyro [uV],IR_S_u
2023-06-14 00:35:54-05:00,31,0.0
2023-06-14 00:36:00-05:00,31,0.0
2023-06-14 00:36:06-05:00,31,0.0
2023-06-14 00:36:12-05:00,31,0.0
2023-06-14 00:36:18-05:00,31,0.0
2023-06-14 00:36:24-05:00,31,0.0
2023-06-14 00:36:30-05:00,31,0.0
2023-06-14 00:36:36-05:00,31,0.0
2023-06-14 00:36:42-05:00,31,0.0
2023-06-14 00:36:48-05:00,31,0.0
2023-06-14 00:36:54-05:00,31,0.0
2023-06-14 00:37:00-05:00,31,0.0
2023-06-14 00:37:06-05:00,31,0.0
2023-06-14 00:37:12-05:00,31,0.0
2023-06-14 00:37:18-05:00,31,0.0
2023-06-14 00:37:24-05:00,31,0.0
2023-06-14 00:37:30-05:00,31,0.0
2023-06-14 00:37:36-05:00,31,0.0
2023-06-14 00:37:42-05:00,31,0.0
2023-06-14 00:37:48-05:00,31,0.0
2023-06-14 00:37:54-05:00,31,0.0
2023-06-14 00:38:00-05:00,31,0.0
2023-06-14 00:38:06-05:00,31,0.0
2023-06-14 00:38:12-05:00,31,0.0
2023-06-14 00:38:18-05:00,31,0.0
2023-06-14 00:38:24-05:00,31,0.0
2023-06-14 00:38:30-05:00,31,0.0
2023-06-14 00:38:36-05:00,31,0.0
2023-06-14 00:38:42-05:00,31,0.0
2023-06-14 00:38:48-05:00,31,0.0
2023-06-14 00:38:54-05:00,31,0.0
2023-06-14 00:39:00-05:00,31,0.0
2023-06-14 00:39:06-05:00,31,0.0
2023-06-14 00:39:12-05:00,31,0.0
2023-06-14 00:39:18-05:00,31,0.0
2023-06-14 00:39:24-05:00,31,0.0
2023-06-14 00:39:30-05:00,31,0.0
2023-06-14 00:39:36-05:00,31,0.0
2023-06-14 00:39:42-05:00,31,0.0
2023-06-14 00:39:48-05:00,31,0.0
2023-06-14 00:39:54-05:00,31,0.0
2023-06-14 00:40:00-05:00,31,0.0
2023-06-14 00:40:06-05:00,31,0.0
