filename,time,b,g,r
RCNX0214,2023-06-07 02:00:00,22.29545018153889,22.29545018153889,22.29545018153889
RCNX0215,2023-06-07 02:03:00,23.613685675883257,23.613685675883257,23.613685675883257
RCNX0216,2023-06-07 02:06:00,22.506033113391986,22.506033113391986,22.506033113391986
RCNX0217,2023-06-07 02:09:00,22.68330409509845,22.68330409509845,22.68330409509845
RCNX0218,2023-06-07 02:12:00,22.90413000977517,22.90413000977517,22.90413000977517
RCNX0219,2023-06-07 02:15:00,23.593485110319786,23.593485110319786,23.593485110319786
RCNX0220,2023-06-07 02:18:00,24.383233399664853,24.383233399664853,24.383233399664853
RCNX0221,2023-06-07 02:21:00,25.16645632593213,25.16645632593213,25.16645632593213
RCNX0222,2023-06-07 02:24:00,24.419262323697808,24.419262323697808,24.419262323697808
RCNX0223,2023-06-07 02:27:00,23.4381777161011,23.4381777161011,23.4381777161011
RCNX0224,2023-06-07 02:30:00,21.46898826979472,21.46898826979472,21.46898826979472
RCNX0225,2023-06-07 02:33:00,19.379939952520598,19.379939952520598,19.379939952520598
RCNX0226,2023-06-07 02:36:00,18.09079170157799,18.09079170157799,18.09079170157799
RCNX0227,2023-06-07 02:39:00,12.816657066052228,12.816657066052228,12.816657066052228
RCNX0228,2023-06-07 02:42:00,10.879485668900992,10.879485668900992,10.879485668900992
RCNX0229,2023-06-07 02:45:00,10.390179880603268,10.390179880603268,10.390179880603268
RCNX0230,2023-06-07 02:48:00,11.164442815249267,11.164442815249267,11.164442815249267
RCNX0231,2023-06-07 02:51:00,10.718460236000558,10.718460236000558,10.718460236000558
RCNX0232,2023-06-07 02:54:00,13.160253456221199,13.160253456221199,13.160253456221199
RCNX0233,2023-06-07 02:57:00,14.381475614439324,14.381475614439324,14.381475614439324
RCNX0234,2023-06-07 03:00:00,20.00709398128753,20.00709398128753,20.00709398128753
RCNX0235,2023-06-07 03:03:00,28.830205278592377,28.830205278592377,28.830205278592377
RCNX0236,2023-06-07 03:06:00,27.002905931434157,27.002905931434157,27.002905931434157
RCNX0237,2023-06-07 03:09:00,27.37065223083368,27.37065223083368,27.37065223083368
RCNX0238,2023-06-07 03:12:00,32.411770789694174,32.411770789694174,32.411770789694174
RCNX0239,2023-06-07 03:15:00,32.037087609970676,32.037087609970676,32.037087609970676
RCNX0240,2023-06-07 03:18:00,25.383852202904624,25.383852202904624,25.383852202904624
RCNX0241,2023-06-07 03:21:00,24.0107330505516,24.0107330505516,24.0107330505516
RCNX0242,2023-06-07 03:24:00,28.25818976050831,28.25818976050831,28.25818976050831
RCNX0243,2023-06-07 03:27:00,33.41241403086161,33.41241403086161,33.41241403086161
RCNX0244,2023-06-07 03:30:00,39.48362222454964,39.48362222454964,39.48362222454964
RCNX0245,2023-06-07 03:33:00,41.79469304217288,41.79469304217288,41.79469304217288
RCNX0246,2023-06-07 03:36:00,41.688030215751986,41.688030215751986,41.688030215751986
RCNX0247,2023-06-07 03:39:00,37.35232640343528,37.35232640343528,37.35232640343528
RCNX0248,2023-06-07 03:42:00,38.26581090280687,38.26581090280687,38.26581090280687
RCNX0249,2023-06-07 03:45:00,34.95713412931155,34.95713412931155,34.95713412931155
RCNX0250,2023-06-07 03:48:00,29.589444997207092,29.589444997207092,29.589444997207092
RCNX0251,2023-06-07 03:51:00,21.686117947912305,21.686117947912305,21.686117947912305
RCNX0252,2023-06-07 03:54:00,27.141949012009494,27.141949012009494,27.141949012009494
RCNX0253,2023-06-07 03:57:00,33.73956456849602,33.73956456849602,33.73956456849602
RCNX0254,2023-06-07 04:00:00,32.727512742633714,32.727512742633714,32.727512742633714
RCNX0255,2023-06-07 04:03:00,23.07780556137411,23.07780556137411,23.07780556137411
RCNX0256,2023-06-07 04:06:00,27.406922915793885,27.406922915793885,27.406922915793885
